"","","","","Bên mua","","","","","","Khớp lệnh","","","","Bên bán","","","","","","","","","ĐTNN","",""
"CK","Trần","Sàn","TC","Giá 3","KL 3","Giá 2","KL 2","Giá 1","KL 1","Giá","KL","+/-","+/- (%)","Giá 1","KL 1","Giá 2","KL 2","Giá 3","KL 3","Tổng KL","Cao","Thấp","NN mua","NN bán","Room"
"AAA","9980","8680","9330","9300","79100","9310","27500","9320","12200","9330","1000","0","0","9330","3300","9340","16000","9350","12500","965300","9390","9310","31800","37250","373796888"
"AAM","10000","8740","9390","9150","800","9160","100","9370","200","9370","100","-20","-0.21","9390","100","9400","300","9500","1000","2500","9390","9370","","","5942564"
"AAT","5180","4520","4850","4850","29200","4860","6600","4870","2000","4870","200","20","0.41","4880","800","4890","6700","4900","49100","65000","4920","4860","","40","34801415"
"ABR","14400","12600","13500","12600","20400","12650","1300","13050","500","13750","100","250","1.85","13750","4900","13800","5000","13950","600","300","13750","13500","","","72000"
"ABS","6160","5360","5760","5760","27200","5770","21800","5780","16700","5780","100","20","0.35","5800","22800","5810","1000","5820","17200","348400","5840","5750","","",""
"ABT","36950","32150","34550","32650","100","34500","2400","34550","1500","","","","","36000","100","36900","100","","","","","","","","6784999"
"ACB","24950","21750","23350","23150","24600","23200","688500","23250","573600","23300","100","-50","-0.21","23300","2500","23350","560000","23400","863700","3856000","23400","23250","90","",""
"ACC","13250","11550","12400","12150","13500","12200","23100","12350","200","12350","300","-50","-0.4","12400","12600","12450","4200","12500","6800","4500","12400","12200","","",""
"ACG","40700","35400","38050","36850","3200","36900","900","37000","1000","37200","100","-850","-2.23","37200","100","37450","100","37600","100","24800","38050","36800","300","","17293463"
"ACL","12700","11100","11900","11800","14600","11850","6900","11900","4700","11900","300","0","0","12000","7500","12050","1400","12100","4900","20400","12050","11850","3600","","18615210"
"ADG","22850","19950","21400","20550","300","20600","100","20800","100","20600","200","-800","-3.74","21200","100","21300","100","21350","500","4100","20600","20400","","3275","3657791"
"ADP","20500","17900","19200","18150","200","18200","800","18250","200","","","","","19950","2700","20150","1000","20400","1000","","","","","","22848610"
"ADS","14150","12350","13250","13150","2200","13200","27800","13250","22100","13250","1100","0","0","13300","19000","13350","13800","13400","21500","179900","13450","13250","","","29057930"
"AGG","26750","23250","25000","24700","15600","24750","18900","24800","5400","24800","100","-200","-0.8","24850","6100","24900","9600","24950","8800","313300","25100","24650","","","56078426"
"AGM","6710","5850","6280","","","","","","","","","","","","","","","","","","","","","",""
"AGR","17000","14800","15900","15800","59400","15850","34100","15900","30600","15900","1000","0","0.00","15950","19700","16000","173600","16050","60900","550300","16100","15900","4300","12000","214847431"
"ANV","33150","28850","31000","30900","94300","30950","10300","31000","2000","31000","1200","0","0","31050","1400","31100","6200","31150","40800","765300","31350","30900","","23900","61118693"
"APC","10000","8740","9390","8900","200","8950","200","9000","3600","9000","2500","-390","-4.15","9290","500","9300","2400","9380","300","2900","9000","9000","","40","6808608"
"APG","12650","11050","11850","12000","30900","12050","11200","12100","24000","12150","1100","300","2.53","12150","3900","12200","84000","12250","99500","1900900","12250","11800","19000","500","152800025"
"APH","8070","7030","7550","7530","6600","7540","2300","7550","4300","7550","700","0","0","7560","4200","7570","11500","7580","14600","187000","7590","7520","3900","","175558116"
"ASG","22950","19950","21450","20250","500","20300","200","20550","900","21450","100","0","0","21450","600","21500","1000","21600","1000","14800","21450","19950","","","22025363"
"ASM","10850","9440","10150","10200","304500","10250","164500","10300","211000","10350","1600","200","1.97","10350","19500","10400","473800","10450","334500","3968600","10400","10150","57800","12900","156514017"
"ASP","5060","4400","4730","4960","2500","4970","2000","4980","2100","4980","100","250","5.29","4990","2000","5000","3200","5010","3400","23900","5010","4960","100","","5500"
"AST","54500","47450","51000","50000","5400","50100","1900","50200","2400","50500","100","-500","-0.98","50500","4900","51000","6800","52000","600","35900","50500","50100","7600","1900","1809751"
"BAF","27300","23800","25550","25500","112100","25550","41200","25600","18100","25650","900","100","0.39","25650","31200","25700","54800","25750","44700","1920900","25700","25550","","37000","71100372"
"BBC","56700","49300","53000","50600","100","50700","200","50800","100","","","","","53000","100","54800","200","54900","100","","","","","","9222638"
"BCE","6180","5380","5780","5780","20800","5790","600","5800","2300","5800","1000","20","0.35","5850","4900","5870","3200","5890","7300","101500","5850","5750","","","16668623"
"BCG","9680","8420","9050","9020","18400","9030","34800","9040","77300","9050","1000","0","0.00","9050","67300","9060","83500","9070","114300","3673700","9180","9040","100","150200","257172374"
"BCM","66200","57600","61900","62000","15200","62100","10100","62200","6600","62200","100","300","0.48","62400","5800","62500","14600","62600","3600","388300","63400","61400","35000","1200","486109592"
"BFC º","26800","23300","25050","25050","52500","25100","39700","25150","3200","25150","200","100","0.4","25200","2600","25250","6900","25300","31100","541900","25350","24300","86800","2200","26056518"
"BHN","42800","37200","40000","37200","3400","38000","4700","39000","500","40450","300","450","1.13","40300","500","40400","900","40450","2600","1800","40700","40000","300","","72837950"
"BIC","27100","23600","25350","25050","200","25200","500","25250","400","25450","400","100","0.39","25450","1700","25500","3400","25550","100","8500","25500","25450","","","5927602"
"BID","46200","40200","43200","42900","1800","42950","15600","43000","30100","43000","200","-200","-0.46","43100","23700","43150","500","43200","2400","702500","43400","42700","285500","425698","725596538"
"BKG","4670","4070","4370","4340","1000","4350","10500","4360","5000","4370","600","0","0","4370","15800","4400","500","4440","1300","71600","4450","4350","","","33958771"
"BMC","15950","13950","14950","14800","9400","14850","2500","14900","400","15000","200","50","0.33","15000","3100","15050","100","15100","100","3400","15000","14900","","","5311853"
"BMI","22600","19700","21150","21000","3200","21050","5800","21100","1000","21100","1000","-50","-0.24","21150","5100","21200","5000","21250","5100","75700","21200","21050","22000","16300","21310164"
"BMP","112700","98100","105400","105000","5000","105400","19000","105500","400","105500","100","100","0.09","105600","300","105700","500","105800","2500","170200","106500","103000","84900","34500","11749526"
"BRC","12300","10700","11500","11500","1700","11550","2200","11600","3000","","","","","12000","2000","12150","300","12200","200","","","","","","6108688"
"BSI","49600","43200","46400","46150","7200","46200","13900","46250","11000","46300","500","-100","-0.22","46300","4200","46350","6600","46400","5300","424400","46650","46250","","103200","120720105"
"BTP","16900","14700","15800","15600","4300","15650","4900","15700","200","15700","500","-100","-0.63","15800","5000","15900","6300","16000","7100","33700","16000","15700","","","24288684"
"BTT","33150","28850","31000","29600","1000","30000","500","30100","500","","","","","32700","300","32800","500","33000","10000","","","","","",""
"BVH","42050","36550","39300","39350","2700","39400","2200","39450","1200","39450","100","150","0.38","39500","500","39550","2500","39600","3800","207800","39650","39150","500","47200","167982794"
"BWE","42800","37200","40000","39750","14900","39800","700","39850","200","39850","100","-150","-0.38","39900","3000","39950","1000","40000","8000","145100","40400","39750","1800","91400","62344135"
"C32","18050","15750","16900","16750","3100","16800","2100","16850","1000","16950","500","50","0.3","16950","2400","17000","3300","17050","3300","11500","17000","16700","","","7223150"
"C47","7190","6250","6720","6720","14000","6730","5800","6740","900","6740","2000","20","0.3","6770","700","6780","1200","6790","3500","51500","6800","6720","","",""
"CAV","72700","63300","68000","67500","100","67700","1600","67800","600","68000","500","0","0","68000","1500","68300","400","68400","1300","5700","69000","68000","","","28654406"
"CCI","25100","21900","23500","21900","100","22000","300","23000","500","23700","700","200","0.85","23650","500","23700","900","23750","700","3300","23900","22000","","",""
"CCL","7650","6650","7150","7110","2700","7120","1000","7130","1100","7130","500","-20","-0.28","7150","9300","7160","7200","7170","4300","103900","7190","7100","","","29233875"
"CDC","21500","18700","20100","19700","1300","19750","2600","19800","1700","19850","1600","-250","-1.24","19850","1000","19900","10000","19950","4900","418100","20150","19800","","","10049339"
"CHP *","26400","23000","24700","24650","100","24700","3400","24750","200","24800","300","100","0.4","24800","4000","24900","1000","25100","100","18900","25500","24550","","",""
"CIG","6950","6050","6500","6450","4300","6480","2000","6500","2700","6510","100","10","0.15","6510","1400","6520","12100","6530","4400","82400","6550","6500","","",""
"CII","17950","15650","16800","16800","178200","16850","160700","16900","261700","16950","500","150","0.89","16950","19200","17000","90900","17050","217200","4028000","17150","16850","21659","25400","107378249"
"CKG","23500","20500","22000","21600","16000","21650","400","21700","100","21650","100","-350","-1.59","22000","4100","22050","500","22200","400","15400","22000","21400","","",""
"CLC","39650","34550","37100","36100","3000","36150","200","36500","200","36500","100","-600","-1.62","37000","300","37150","200","37200","1100","100","36500","36500","","","12177916"
"CLL","38050","33150","35600","35850","1500","35900","5000","36000","2200","36650","400","1050","2.95","36650","1100","36700","100","36900","200","26000","36650","35650","3400","","13065799"
"CLW","37050","32250","34650","32500","700","32600","200","32800","100","","","","","36900","100","37000","100","","","","","","","","5746310"
"CMG","43200","37600","40400","40500","1100","40700","3600","40800","500","40900","200","500","1.24","40900","2400","40950","6600","41000","7800","80800","41400","40400","48000","1100","8204599"
"CMV","9280","8080","8680","8210","200","8220","700","8250","200","8220","100","-460","-5.3","8580","2000","8590","8800","8610","200","3000","8660","8220","","",""
"CMX","9410","8190","8800","8720","9300","8730","3100","8750","14200","8770","100","-30","-0.34","8780","1200","8790","7600","8810","1700","195400","8850","8720","","13300","35307430"
"CNG","29550","25750","27650","27450","1000","27500","12200","27550","600","27600","300","-50","-0.18","27700","3000","27750","4100","27800","30800","10500","27800","27500","","","12370122"
"COM","31500","27400","29450","29600","100","31000","200","31500","1000","31000","100","1550","5.26","","","","","","","3100","31500","29450","","","6889147"
"CRC","5860","5100","5480","5430","800","5440","100","5470","2000","5500","100","20","0.36","5500","4900","5510","500","5520","600","202400","5500","5400","","",""
"CRE","9030","7850","8440","8430","20200","8440","30700","8450","200","8450","200","10","0.12","8460","10200","8470","5300","8480","19200","450100","8550","8400","","800","225425591"
"CSM","12800","11200","12000","11750","100","11800","200","11900","1200","12000","200","0","0","12100","11200","12150","500","12200","2400","4400","12100","12000","200","","51068992"
"CSV º","42800","37200","40000","40950","5100","41000","7800","41050","2300","41050","2900","1050","2.63","41100","3500","41150","8200","41200","25000","422300","41300","40200","3800","2700","20523302"
"CTD","70400","61200","65800","69200","1600","69300","5100","69400","23900","69400","1000","3600","5.47","69500","29500","69600","14900","69700","34300","4253300","69900","65900","128700","305933","4460407"
"CTF","33900","29500","31700","31700","88600","31750","24500","31800","32600","31900","2000","200","0.63","31900","13900","32000","37100","32050","100","788100","31900","31500","27000","","41513741"
"CTG","28750","25050","26900","26700","183600","26750","108200","26800","43100","26850","800","-50","-0.19","26850","51000","26900","862900","26950","286900","1824000","26950","26800","637858","419200","139751484"
"CTI","15850","13850","14850","15150","66900","15200","32100","15250","27700","15250","500","400","2.69","15300","31400","15350","28900","15400","26700","587100","15450","14850","18600","","30577945"
"CTR","98400","85600","92000","90500","5500","90600","3000","90700","200","90700","500","-1300","-1.41","90800","2100","91000","1800","91200","200","246500","93000","90500","3200","51200","44527204"
"CTS","29900","26000","27950","28150","16400","28200","25600","28250","20800","28300","500","350","1.25","28300","16200","28350","12400","28400","37200","1170300","28500","28000","","100","71027386"
"CVT","33350","29050","31200","29750","100","29800","100","30000","400","31600","100","400","1.28","31600","400","31700","100","32000","100","6400","31600","29600","","1200","18157981"
"D2D","26850","23350","25100","24950","900","25000","5000","25100","800","25100","100","0","0","25250","500","25450","1000","25500","1900","22000","25250","25000","","","14267390"
"DAG","3370","2930","3150","3130","86300","3140","1800","3150","1800","3150","2000","0","0","3160","5800","3170","9200","3180","16200","152300","3190","3140","","","29390521"
"DAH","4650","4050","4350","4330","44700","4340","15500","4350","9300","4350","500","0","0","4360","10000","4370","11100","4380","15100","77100","4380","4310","","",""
"DAT","9790","8510","9150","8890","200","9000","300","9050","100","9000","100","-150","-1.64","9150","500","9200","600","9250","1000","1000","9150","9000","","",""
"DBC","28100","24500","26300","26350","221400","26400","130900","26450","11900","26450","1000","150","0.57","26500","28200","26550","111900","26600","109500","8885600","26800","26300","63200","10800","106906777"
"DBD","58200","50600","54400","53000","26300","53100","3100","53200","100","53900","100","-500","-0.92","53900","3300","54000","5600","54200","200","131500","54300","53000","73600","120600","65504286"
"DBT","13050","11350","12200","11600","1100","11650","2000","12000","200","12200","100","0","0","12300","200","12350","800","12400","6800","17500","12500","11600","","",""
"DC4","8960","7800","8380","8420","2000","8450","6500","8460","2600","8500","300","120","1.43","8500","3900","8540","3100","8550","100","39200","8580","8380","","","26192720"
"DCL","25050","21850","23450","23450","15100","23500","10700","23700","2600","23700","9500","250","1.07","23900","800","23950","300","24000","4700","129200","24200","23350","","",""
